Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
3	28	2859.1	0.6563	0.8111	1.3821	1.8311	-0.2005	0.1648	0.177
3	29	2962.1	0.6534	0.8127	1.3687	1.8229	-0.1898	0.1612	0.173
3	30	3064.7	0.6327	0.8244	1.3862	1.8379	-0.2094	0.1609	0.1737
3	31	3167.1	0.6283	0.8269	1.389	1.8348	-0.2054	0.1631	0.1748
3	32	3268.3	0.6234	0.8296	1.3897	1.8383	-0.21	0.1608	0.1741
3	33	3370.3	0.6217	0.8305	1.3848	1.8307	-0.2	0.1633	0.1752
3	34	3472.4	0.6201	0.8313	1.3947	1.8459	-0.22	0.1669	0.1831
3	35	3573.3	0.6159	0.8336	1.3861	1.8389	-0.2109	0.1664	0.1792
3	36	3675.4	0.6145	0.8344	1.3777	1.8204	-0.1866	0.1679	0.1834
3	37	3777.2	0.612	0.8357	1.3932	1.8463	-0.2205	0.1651	0.1809
3	38	3879.5	0.6117	0.8359	1.3872	1.8326	-0.2026	0.1674	0.1801
3	39	3981.7	0.6072	0.8383	1.3858	1.8343	-0.2047	0.1684	0.183
3	40	4083.7	0.5936	0.8454	1.3949	1.8419	-0.2147	0.1664	0.1825
3	41	4186.8	0.5903	0.8472	1.393	1.839	-0.211	0.1667	0.182
3	42	4289.3	0.5887	0.848	1.3972	1.843	-0.2162	0.1674	0.1817
3	43	4391.2	0.5856	0.8496	1.4193	1.8722	-0.255	0.1666	0.182
3	44	4493.7	0.5841	0.8504	1.4018	1.8479	-0.2226	0.1687	0.1826
3	45	4595.7	0.583	0.8509	1.4096	1.8573	-0.2352	0.1679	0.1814
3	46	4697.6	0.5804	0.8523	1.4065	1.8485	-0.2234	0.1704	0.1833
3	47	4800.4	0.5792	0.8529	1.4104	1.8597	-0.2384	0.1707	0.1839
3	48	4902.2	0.5756	0.8547	1.3996	1.8428	-0.2159	0.1703	0.1833
3	49	5004.9	0.5745	0.8553	1.4073	1.8485	-0.2234	0.1704	0.1823
3	50	5107.4	0.5647	0.8602	1.4108	1.8577	-0.2356	0.1724	0.1854
4	1	102.3	1.3435	0.2248	1.1251	1.4422	0.121	0.3509	0.3284
4	2	204.6	1.0827	0.4966	1.1995	1.5242	0.0182	0.2916	0.2662
4	3	307.0	0.9907	0.5785	1.1886	1.5087	0.0381	0.2593	0.252
4	4	408.7	0.9424	0.6186	1.2117	1.5426	-0.0056	0.2538	0.2381
4	5	511.8	0.9072	0.6465	1.2324	1.5758	-0.0493	0.2501	0.2595
4	6	614.9	0.8853	0.6634	1.2488	1.5908	-0.0694	0.1954	0.2078
4	7	717.3	0.8715	0.6739	1.2436	1.5837	-0.0599	0.232	0.2366
4	8	820.4	0.8571	0.6845	1.2756	1.6463	-0.1453	0.2098	0.2031
4	9	923.0	0.8542	0.6866	1.222	1.5534	-0.0197	0.2547	0.2683
4	10	1025.0	0.8005	0.7248	1.2667	1.6339	-0.1281	0.2288	0.2323
4	11	1127.1	0.7871	0.734	1.2799	1.6549	-0.1574	0.2436	0.2531
4	12	1229.7	0.778	0.7401	1.2633	1.6182	-0.1065	0.215	0.2236
4	13	1332.0	0.771	0.7447	1.2746	1.635	-0.1296	0.1871	0.1887
4	14	1434.5	0.7659	0.7481	1.2892	1.6587	-0.1626	0.2031	0.2044
4	15	1537.3	0.7598	0.7521	1.268	1.6267	-0.1183	0.2059	0.218
4	16	1638.6	0.7556	0.7548	1.2878	1.6613	-0.1663	0.1784	0.1874
4	17	1740.7	0.7512	0.7577	1.3201	1.6834	-0.1975	0.1784	0.1688
4	18	1842.8	0.7476	0.76	1.2479	1.6008	-0.0829	0.1967	0.1976
4	19	1944.2	0.7433	0.7627	1.2988	1.6712	-0.1803	0.1924	0.1942
4	20	2046.2	0.7109	0.783	1.3049	1.6803	-0.1931	0.2002	0.2026
4	21	2147.5	0.7018	0.7885	1.294	1.671	-0.18	0.2015	0.2059
4	22	2249.6	0.6959	0.792	1.2973	1.6654	-0.172	0.1831	0.1939
4	23	2352.0	0.6926	0.794	1.2908	1.6717	-0.181	0.2032	0.2122
4	24	2454.5	0.6882	0.7966	1.2914	1.6667	-0.174	0.1992	0.2014
4	25	2557.0	0.6823	0.8001	1.2892	1.6678	-0.1755	0.1904	0.1958
4	26	2658.9	0.6801	0.8014	1.2967	1.6795	-0.192	0.1912	0.1988
4	27	2761.3	0.6772	0.8031	1.3042	1.6867	-0.2023	0.1941	0.2024
4	28	2862.8	0.6737	0.8051	1.2805	1.6533	-0.1551	0.1865	0.1889
4	29	2965.7	0.6675	0.8086	1.3413	1.7355	-0.2728	0.1891	0.1998
4	30	3068.4	0.6441	0.8218	1.3427	1.7346	-0.2714	0.1886	0.1943
4	31	3170.6	0.6382	0.8251	1.309	1.6905	-0.2076	0.1865	0.1937
4	32	3273.1	0.6332	0.8278	1.3102	1.6916	-0.2092	0.1828	0.1915
4	33	3375.4	0.631	0.829	1.3303	1.7221	-0.2533	0.1924	0.2004
4	34	3477.0	0.6271	0.8311	1.314	1.7058	-0.2297	0.1561	0.1677
4	35	3579.2	0.6228	0.8334	1.3196	1.7076	-0.2323	0.1771	0.187
4	36	3680.9	0.6193	0.8353	1.3158	1.7021	-0.2243	0.1899	0.1998
4	37	3783.2	0.6185	0.8357	1.3014	1.6834	-0.1976	0.1947	0.2033
4	38	3885.4	0.6146	0.8378	1.3005	1.6795	-0.192	0.1807	0.1814
4	39	3988.4	0.6135	0.8384	1.3164	1.6974	-0.2175	0.1854	0.1894
4	40	4090.2	0.5965	0.8472	1.3282	1.7148	-0.2427	0.1835	0.1892
4	41	4192.1	0.5908	0.8501	1.3312	1.7193	-0.2492	0.1769	0.1827
4	42	4293.5	0.589	0.851	1.3431	1.7306	-0.2657	0.1751	0.1804
4	43	4395.8	0.5859	0.8526	1.3293	1.7176	-0.2467	0.1861	0.1908
4	44	4498.2	0.5823	0.8544	1.3343	1.7219	-0.253	0.1775	0.184
4	45	4600.5	0.5802	0.8554	1.3281	1.7128	-0.2397	0.1808	0.1866
4	46	4702.4	0.5772	0.8569	1.3297	1.7148	-0.2427	0.1797	0.1857
4	47	4804.7	0.5753	0.8579	1.3416	1.7305	-0.2655	0.1832	0.1873
4	48	4906.6	0.5736	0.8587	1.3381	1.7259	-0.2587	0.1752	0.1773
4	49	5009.4	0.5717	0.8597	1.3437	1.733	-0.2692	0.1761	0.1818
4	50	5111.7	0.5608	0.8649	1.3437	1.7325	-0.2684	0.1726	0.1795
5	1	102.4	1.3687	0.1854	1.235	1.5803	0.0442	0.2596	0.2454
5	2	204.8	1.0798	0.493	1.3022	1.6394	-0.0287	0.1621	0.154
5	3	307.4	0.977	0.5849	1.3098	1.6494	-0.0413	0.1549	0.1364
5	4	409.1	0.9193	0.6325	1.3343	1.7043	-0.1117	0.151	0.1543
5	5	510.6	0.8913	0.6546	1.3286	1.7107	-0.12	0.1374	0.1419
5	6	612.7	0.8677	0.6727	1.3338	1.7148	-0.1254	0.1235	0.1335
5	7	715.1	0.8568	0.6808	1.3253	1.683	-0.0841	0.136	0.1178
5	8	817.9	0.8445	0.6899	1.3441	1.7254	-0.1394	0.1193	0.1084
5	9	919.6	0.8658	0.6741	1.3636	1.7205	-0.133	0.1215	0.1034
5	10	1021.4	0.7859	0.7315	1.4264	1.7957	-0.2341	0.0804	0.0692
5	11	1123.7	0.7647	0.7457	1.4055	1.7935	-0.2311	0.1064	0.0926
5	12	1225.5	0.7574	0.7505	1.4009	1.7832	-0.2171	0.0819	0.0756
5	13	1328.1	0.7478	0.7568	1.387	1.7702	-0.1994	0.0926	0.0876
5	14	1430.1	0.7457	0.7582	1.4003	1.7986	-0.2381	0.0857	0.0885
5	15	1531.6	0.7376	0.7635	1.4075	1.8164	-0.2627	0.0822	0.074
5	16	1634.6	0.7332	0.7662	1.4177	1.8137	-0.259	0.0789	0.0674
5	17	1736.5	0.7277	0.7698	1.3979	1.7825	-0.216	0.0786	0.079
5	18	1839.3	0.7226	0.773	1.4456	1.8518	-0.3124	0.0522	0.0419
5	19	1941.9	0.7195	0.7749	1.4667	1.8885	-0.3649	0.057	0.0532
5	20	2044.2	0.6856	0.7956	1.4676	1.8806	-0.3537	0.0576	0.0515
5	21	2146.9	0.678	0.8001	1.4503	1.8617	-0.3266	0.0571	0.0551
5	22	2249.6	0.6736	0.8027	1.4578	1.8755	-0.3463	0.0414	0.0401
5	23	2351.9	0.6685	0.8057	1.4351	1.846	-0.3043	0.0607	0.0525
5	24	2454.8	0.6644	0.808	1.4583	1.8785	-0.3506	0.0614	0.053
