Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
2	18	2791.4	0.6923	0.7086	0.9387	1.2264	0.1356	0.4522	0.4684
2	19	2945.7	0.6907	0.7099	0.9723	1.2714	0.0711	0.4355	0.4528
2	20	3100.2	0.6665	0.7299	0.9408	1.2284	0.1328	0.4414	0.4566
2	21	3254.9	0.661	0.7344	0.9649	1.2556	0.094	0.4312	0.4467
2	22	3408.9	0.6573	0.7373	0.9568	1.2448	0.1095	0.4172	0.4341
2	23	3566.5	0.6546	0.7394	0.9551	1.2449	0.1093	0.431	0.4477
2	24	3720.3	0.6552	0.739	0.9771	1.2789	0.0601	0.4132	0.4355
2	25	3873.5	0.6561	0.7383	0.9735	1.2706	0.0721	0.4181	0.4377
2	26	4027.7	0.6543	0.7397	0.9535	1.2427	0.1125	0.4294	0.4501
2	27	4181.6	0.6506	0.7426	0.9799	1.2745	0.0665	0.4131	0.4314
2	28	4335.8	0.6481	0.7446	0.9727	1.2715	0.0709	0.4176	0.4398
2	29	4490.3	0.6453	0.7468	0.9915	1.2941	0.0375	0.4067	0.4277
2	30	4644.7	0.6297	0.7589	0.9878	1.2892	0.0447	0.4045	0.4261
2	31	4798.8	0.6266	0.7613	0.9835	1.2885	0.0458	0.407	0.4295
2	32	4952.9	0.6237	0.7635	0.9908	1.2937	0.0382	0.3992	0.4193
2	33	5106.8	0.6217	0.765	0.9977	1.3047	0.0217	0.3995	0.4211
2	34	5261.5	0.6196	0.7666	0.9884	1.293	0.0392	0.4014	0.422
2	35	5415.8	0.6182	0.7676	0.9783	1.2771	0.0626	0.4106	0.4308
2	36	5570.5	0.6156	0.7696	0.9895	1.2901	0.0435	0.4024	0.4242
2	37	5724.2	0.6136	0.7711	0.9854	1.2894	0.0445	0.4056	0.4287
2	38	5878.2	0.6122	0.7721	1.0094	1.3188	0.0004	0.3988	0.4215
2	39	6032.8	0.6095	0.7741	0.9931	1.2975	0.0325	0.4009	0.4239
2	40	6187.1	0.5988	0.782	0.9952	1.2994	0.0296	0.3981	0.4211
2	41	6341.4	0.5968	0.7834	1.0136	1.3226	-0.0053	0.392	0.4163
2	42	6495.6	0.5951	0.7847	0.9953	1.2989	0.0304	0.399	0.423
2	43	6649.8	0.5943	0.7853	0.995	1.297	0.0332	0.3976	0.42
2	44	6804.6	0.5923	0.7867	1.0004	1.3056	0.0203	0.3957	0.4194
2	45	6958.6	0.5908	0.7878	0.9977	1.3017	0.0263	0.3916	0.4144
2	46	7113.1	0.5897	0.7885	1.0007	1.3056	0.0203	0.3964	0.4184
2	47	7268.4	0.5877	0.79	1.0016	1.3056	0.0204	0.3928	0.4164
2	48	7422.8	0.586	0.7912	1.0053	1.3115	0.0114	0.3947	0.419
2	49	7578.0	0.5853	0.7917	1.0064	1.3115	0.0115	0.3943	0.4181
2	50	7733.1	0.5781	0.7968	1.0102	1.3189	0.0003	0.3878	0.4128
3	1	154.9	1.0739	0.295	1.0172	1.3021	0.0625	0.5157	0.5394
3	2	309.7	0.9247	0.4773	0.8881	1.1742	0.2376	0.5013	0.5265
3	3	465.5	0.877	0.5299	0.9411	1.2373	0.1534	0.4399	0.473
3	4	620.4	0.8517	0.5566	0.947	1.2543	0.13	0.4161	0.4495
3	5	775.5	0.8338	0.575	0.9528	1.2625	0.1186	0.4245	0.4594
3	6	929.8	0.8186	0.5904	0.9342	1.2377	0.1528	0.4362	0.4749
3	7	1085.5	0.8046	0.6043	0.9422	1.2472	0.1398	0.447	0.475
3	8	1245.2	0.7938	0.6148	0.9732	1.2892	0.0809	0.4111	0.4453
3	9	1418.9	0.7835	0.6247	0.9331	1.2313	0.1616	0.4726	0.4974
3	10	1592.1	0.7393	0.6659	0.9774	1.2956	0.0717	0.4106	0.4481
3	11	1764.7	0.7258	0.678	1.0188	1.347	-0.0033	0.3726	0.4109
3	12	1937.1	0.7151	0.6874	1.0512	1.3775	-0.0493	0.408	0.4455
3	13	2110.4	0.7063	0.6951	0.9692	1.2839	0.0885	0.3938	0.4303
3	14	2283.7	0.6991	0.7013	1.0063	1.3399	0.0073	0.372	0.4117
3	15	2456.5	0.6899	0.7091	1.0123	1.3455	-0.0011	0.3712	0.4125
3	16	2629.9	0.684	0.714	0.9977	1.3305	0.0212	0.3672	0.4163
3	17	2804.3	0.6778	0.7191	1.0366	1.3814	-0.0552	0.3341	0.3796
3	18	2977.9	0.6728	0.7233	1.0035	1.3361	0.0128	0.3708	0.4106
3	19	3151.9	0.6672	0.7279	1.0373	1.3789	-0.0515	0.347	0.3925
3	20	3325.8	0.6373	0.7517	1.0162	1.3538	-0.0135	0.3577	0.3991
3	21	3500.1	0.63	0.7574	1.0314	1.374	-0.0439	0.3554	0.3967
3	22	3673.3	0.6244	0.7617	1.0585	1.3996	-0.0832	0.3604	0.4025
3	23	3847.2	0.6197	0.7652	1.0262	1.365	-0.0303	0.3628	0.4035
3	24	4020.8	0.6164	0.7677	1.1178	1.4744	-0.2021	0.3382	0.3761
3	25	4194.7	0.6127	0.7705	1.0478	1.3948	-0.0757	0.3505	0.388
3	26	4369.1	0.6089	0.7734	1.0377	1.3787	-0.0511	0.3602	0.3992
3	27	4542.9	0.604	0.777	1.0842	1.4466	-0.1572	0.3231	0.3682
3	28	4715.8	0.6	0.7799	1.0371	1.3802	-0.0534	0.3566	0.3946
3	29	4888.7	0.5961	0.7828	1.069	1.4204	-0.1156	0.3319	0.3724
3	30	5061.4	0.5754	0.7976	1.0889	1.4432	-0.1517	0.3311	0.372
3	31	5234.6	0.5701	0.8013	1.0563	1.406	-0.0931	0.3438	0.3866
3	32	5408.2	0.5673	0.8033	1.0811	1.4381	-0.1436	0.334	0.377
3	33	5581.7	0.5634	0.806	1.0831	1.4287	-0.1288	0.3438	0.383
3	34	5755.3	0.5607	0.8078	1.1019	1.4616	-0.1814	0.3261	0.3667
3	35	5929.1	0.5576	0.81	1.0766	1.4302	-0.1311	0.3322	0.3726
3	36	6103.0	0.5553	0.8115	1.0913	1.4505	-0.1634	0.3308	0.3735
3	37	6276.8	0.5522	0.8136	1.0781	1.4331	-0.1357	0.3356	0.3777
3	38	6450.8	0.5491	0.8157	1.0689	1.4243	-0.1217	0.3359	0.377
3	39	6624.2	0.5465	0.8175	1.0668	1.4137	-0.1052	0.3477	0.383
3	40	6797.6	0.5329	0.8264	1.0914	1.4456	-0.1556	0.3319	0.369
3	41	6971.0	0.5292	0.8288	1.1008	1.4542	-0.1694	0.3311	0.3676
3	42	7144.5	0.5268	0.8304	1.0926	1.4452	-0.1549	0.331	0.3696
3	43	7318.0	0.525	0.8315	1.0743	1.4244	-0.1219	0.3381	0.3749
3	44	7491.5	0.5228	0.8329	1.0949	1.4495	-0.1619	0.3336	0.3719
3	45	7665.1	0.5201	0.8346	1.0972	1.4492	-0.1613	0.332	0.3695
3	46	7838.1	0.5183	0.8358	1.096	1.4479	-0.1593	0.3279	0.3635
3	47	8011.2	0.5158	0.8373	1.1103	1.4678	-0.1914	0.3229	0.3607
3	48	8184.3	0.5143	0.8383	1.0957	1.4496	-0.162	0.3318	0.3702
3	49	8356.2	0.5114	0.8401	1.0978	1.4491	-0.1612	0.3365	0.3705
3	50	8528.4	0.5032	0.8452	1.101	1.4563	-0.1728	0.3292	0.3661
4	1	172.8	1.0811	0.2999	0.8309	1.051	0.2729	0.5405	0.5348
4	2	345.7	0.9325	0.479	0.9072	1.1501	0.1292	0.4822	0.4767
4	3	520.1	0.8859	0.5298	0.8329	1.0619	0.2577	0.5129	0.5052
4	4	694.3	0.856	0.561	0.8504	1.086	0.2236	0.4989	0.4931
4	5	868.4	0.8331	0.5842	0.8506	1.0837	0.2269	0.4957	0.489
4	6	1042.4	0.8164	0.6007	0.8978	1.1455	0.1361	0.4517	0.4417
4	7	1215.9	0.801	0.6156	0.9166	1.1681	0.1018	0.468	0.4631
4	8	1389.9	0.7875	0.6284	0.9099	1.1531	0.1247	0.4477	0.4362
4	9	1563.2	0.7805	0.6351	0.9002	1.1469	0.1341	0.4365	0.4386
4	10	1737.4	0.7372	0.6744	0.9191	1.1754	0.0905	0.4276	0.4267
4	11	1910.7	0.7259	0.6843	0.9073	1.1546	0.1224	0.436	0.4359
4	12	2084.3	0.7222	0.6875	0.9189	1.1754	0.0906	0.4218	0.4189
4	13	2257.6	0.7116	0.6967	0.9365	1.1932	0.0628	0.4082	0.4055
4	14	2430.6	0.7075	0.7001	0.9404	1.1984	0.0545	0.4179	0.4168
4	15	2604.3	0.7027	0.7041	0.9316	1.1923	0.0641	0.4131	0.415
4	16	2777.3	0.6976	0.7085	0.9882	1.2609	-0.0467	0.3615	0.3698
4	17	2949.9	0.6949	0.7107	0.9514	1.2197	0.0206	0.3974	0.4053
4	18	3122.8	0.6917	0.7134	0.9171	1.1692	0.1001	0.4163	0.4222
4	19	3296.2	0.6858	0.7182	0.9831	1.2566	-0.0395	0.3779	0.3844
4	20	3469.0	0.6589	0.7399	0.931	1.1864	0.0734	0.411	0.4146
4	21	3643.2	0.6522	0.7452	0.9577	1.2225	0.0161	0.3892	0.3962
4	22	3816.9	0.6471	0.7491	0.9328	1.1955	0.0591	0.4033	0.4103
4	23	3990.4	0.645	0.7508	0.959	1.2263	0.01	0.3941	0.3972
4	24	4163.1	0.6425	0.7527	0.9605	1.2307	0.0029	0.3831	0.3899
4	25	4336.1	0.639	0.7554	0.9643	1.2326	-0.0002	0.3715	0.3794
4	26	4509.0	0.6355	0.7581	0.9755	1.2463	-0.0226	0.3725	0.3781
4	27	4682.5	0.6341	0.7591	0.9617	1.231	0.0024	0.3866	0.3902
4	28	4856.4	0.6301	0.7621	0.9947	1.2734	-0.0675	0.3618	0.3751
4	29	5029.7	0.6285	0.7633	0.982	1.2554	-0.0375	0.3882	0.3932
4	30	5203.0	0.61	0.7771	0.9721	1.245	-0.0205	0.3864	0.39
4	31	5375.4	0.606	0.78	0.9949	1.2721	-0.0652	0.3611	0.3682
