Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
2	40	3799.3	0.9015	0.7413	1.6046	2.0529	-0.3225	0.2039	0.223
2	41	3895.0	0.8983	0.7432	1.6287	2.0794	-0.3568	0.2087	0.2267
2	42	3990.3	0.8958	0.7446	1.6158	2.0649	-0.3379	0.2067	0.2259
2	43	4085.6	0.8949	0.7451	1.6176	2.0669	-0.3405	0.2026	0.22
2	44	4180.6	0.8935	0.7459	1.6138	2.0638	-0.3366	0.2043	0.2224
2	45	4275.7	0.8914	0.7471	1.6431	2.0966	-0.3794	0.2062	0.2232
2	46	4370.4	0.8887	0.7486	1.6355	2.0885	-0.3687	0.2009	0.2185
2	47	4465.9	0.8877	0.7492	1.6182	2.0696	-0.3441	0.2063	0.2252
2	48	4560.9	0.8854	0.7505	1.6349	2.0864	-0.366	0.2011	0.2187
2	49	4656.5	0.8837	0.7514	1.6076	2.0562	-0.3268	0.205	0.2244
2	50	4751.1	0.8756	0.756	1.6341	2.084	-0.3629	0.2009	0.2172
3	1	95.4	1.673	0.1078	1.3814	1.7662	0.0335	0.2758	0.2521
3	2	189.5	1.4282	0.3498	1.3682	1.7563	0.0443	0.297	0.284
3	3	284.4	1.3284	0.4375	1.3973	1.7899	0.0074	0.2712	0.2713
3	4	379.0	1.2776	0.4797	1.4108	1.8261	-0.0332	0.2373	0.2364
3	5	473.7	1.2396	0.5101	1.4864	1.8807	-0.0959	0.2121	0.2126
3	6	568.2	1.2092	0.5339	1.4279	1.8307	-0.0384	0.2286	0.2275
3	7	663.5	1.1862	0.5515	1.4324	1.8268	-0.0339	0.2392	0.2404
3	8	758.6	1.1678	0.5653	1.4854	1.9252	-0.1484	0.2104	0.2146
3	9	854.2	1.1522	0.5768	1.4864	1.9209	-0.1432	0.1999	0.1947
3	10	948.8	1.0896	0.6216	1.4869	1.9143	-0.1354	0.1866	0.1887
3	11	1043.7	1.073	0.6329	1.4911	1.9271	-0.1506	0.1933	0.1933
3	12	1138.5	1.0645	0.6388	1.5016	1.9352	-0.1603	0.1862	0.1857
3	13	1233.8	1.058	0.6431	1.5154	1.96	-0.1902	0.1607	0.1736
3	14	1328.9	1.0506	0.6481	1.5045	1.947	-0.1744	0.1828	0.1893
3	15	1423.1	1.044	0.6525	1.524	1.9647	-0.1959	0.1707	0.175
3	16	1518.3	1.0365	0.6575	1.5465	1.9954	-0.2336	0.165	0.1708
3	17	1613.6	1.0351	0.6584	1.5199	1.9586	-0.1884	0.1827	0.1805
3	18	1708.7	1.0302	0.6617	1.5165	1.963	-0.1939	0.1716	0.1775
3	19	1803.2	1.0254	0.6648	1.5511	1.9973	-0.236	0.1369	0.1495
3	20	1897.1	0.9836	0.6916	1.5506	2.0055	-0.2461	0.143	0.1537
3	21	1992.5	0.9749	0.697	1.5375	1.992	-0.2294	0.1617	0.1715
3	22	2087.2	0.9729	0.6983	1.5468	2.0055	-0.2461	0.1518	0.1645
3	23	2181.0	0.9635	0.7041	1.5404	1.9946	-0.2326	0.1676	0.1782
3	24	2275.4	0.9618	0.7051	1.542	1.991	-0.2282	0.1592	0.173
